"DiscreteTimes","Duration","Mean","Var","M","Alg"
3.1,10.0,6.5414394844083,0.0010174187414358849,1024,"Direct MC"
3.2,10.0,6.777074213446126,0.0010708710688216586,1024,"Direct MC"
3.3,10.0,7.029739164069473,0.0011210197542480867,1024,"Direct MC"
3.4,10.0,7.2682107329475345,0.0011677864544146525,1024,"Direct MC"
3.5,10.0,7.521418685203284,0.0012174178486737723,1024,"Direct MC"
3.6,10.0,7.7673350890892285,0.0012750955232324562,1024,"Direct MC"
3.7,10.0,8.022281448620147,0.0013337376586670772,1024,"Direct MC"
3.8,10.0,8.29111466608837,0.0013944579406259074,1024,"Direct MC"
3.9,10.0,8.55457209255435,0.001452571362431858,1024,"Direct MC"
4.0,10.0,8.821577970158454,0.0015166967441467213,1024,"Direct MC"
4.1,10.0,9.09140231468703,0.0015824919750275649,1024,"Direct MC"
4.2,10.0,9.362988698390483,0.0016483069134849131,1024,"Direct MC"
4.3,10.0,9.637370698848748,0.0017105892800261457,1024,"Direct MC"
4.4,10.0,9.911911692360928,0.0017757787722847667,1024,"Direct MC"
4.5,10.0,10.201079610006252,0.0018500629382678295,1024,"Direct MC"
4.6,10.0,10.488213565668705,0.00191974884714873,1024,"Direct MC"
4.7,10.0,10.775676661657387,0.0019849183824918117,1024,"Direct MC"
4.8,10.0,11.079443559567833,0.0020692538828225265,1024,"Direct MC"
4.9,10.0,11.37995647152052,0.002142328779578055,1024,"Direct MC"
5.0,10.0,11.676727722804982,0.002207176375868541,1024,"Direct MC"
5.1,10.0,11.980566206841438,0.002266550562829325,1024,"Direct MC"
5.2,10.0,12.293102527638391,0.002345476678433035,1024,"Direct MC"
5.3,10.0,12.593977995756633,0.0024284173822254657,1024,"Direct MC"
5.4,10.0,12.906791851142625,0.0025040700178979324,1024,"Direct MC"
5.5,10.0,13.203067395371416,0.0025923510662196974,1024,"Direct MC"
5.6,10.0,13.531951940132853,0.0026754664701453897,1024,"Direct MC"
5.7,10.0,13.84207232552497,0.002750729174414242,1024,"Direct MC"
5.8,10.0,14.162402881842645,0.002852873727945979,1024,"Direct MC"
5.9,10.0,14.494039761661472,0.0029474356071371977,1024,"Direct MC"
6.0,10.0,14.839011346630258,0.003037308533166927,1024,"Direct MC"
6.1,10.0,15.166274686318024,0.0031364717025783536,1024,"Direct MC"
6.2,10.0,15.487763741972387,0.0032216569683684282,1024,"Direct MC"
6.3,10.0,15.813306525949013,0.0033157368301229887,1024,"Direct MC"
6.4,10.0,16.145368691000126,0.0034183737077234824,1024,"Direct MC"
6.5,10.0,16.493322409808727,0.0035159199302033663,1024,"Direct MC"
6.6,10.0,16.848888537651195,0.0036207601899598727,1024,"Direct MC"
6.7,10.0,17.203668932757903,0.003715256373916863,1024,"Direct MC"
6.8,10.0,17.555828335339775,0.003826237909344357,1024,"Direct MC"
6.9,10.0,17.911065139001476,0.003930701860072663,1024,"Direct MC"
7.0,10.0,18.271782180354105,0.004040430404065073,1024,"Direct MC"
7.1,10.0,18.627766070245826,0.004156265478191665,1024,"Direct MC"
7.2,10.0,18.995378231489422,0.004263334555924783,1024,"Direct MC"
7.3,10.0,19.35423000336228,0.004366558145015023,1024,"Direct MC"
7.4,10.0,19.723304652280508,0.004497698992852941,1024,"Direct MC"
