"TauL","DiscreteTimes","Lmax","NClusters","g","Mean","Var","M","N"
1.160092807424594,2.3,6,400,0.0001,0.007768567568402633,7.339267196833046e-5,256,14400
1.160092807424594,2.4,6,400,0.0001,0.008590769227844752,7.77394373230924e-5,256,14400
1.160092807424594,2.5,6,400,0.0001,0.00998510474742539,8.316065264275467e-5,256,14400
1.160092807424594,2.6,6,400,0.0001,0.010856356339063494,8.726237064152646e-5,256,14400
1.160092807424594,2.7,6,400,0.0001,0.012671469143929751,9.148316805627363e-5,256,14400
1.160092807424594,2.8,6,400,0.0001,0.012584284347160265,9.523760620066311e-5,256,14400
1.160092807424594,2.9,6,400,0.0001,0.013508487313503995,9.99878655089808e-5,256,14400
1.160092807424594,3.0,6,400,0.0001,0.014569368915617817,0.00010453346831218536,256,14400
1.160092807424594,3.1,6,400,0.0001,0.016232709655677253,0.00010799992433950905,256,14400
1.160092807424594,3.2,6,400,0.0001,0.01784704878045886,0.00011211799718603327,256,14400
1.160092807424594,3.3,6,400,0.0001,0.018810240503225942,0.00011594358380541823,256,14400
1.160092807424594,3.4,6,400,0.0001,0.0205313247471026,0.00012053000613522933,256,14400
1.160092807424594,3.5,6,400,0.0001,0.021531809481538298,0.00012512722074899406,256,14400
1.160092807424594,3.6,6,400,0.0001,0.02290502300022733,0.00012900999058666488,256,14400
1.160092807424594,3.7,6,400,0.0001,0.023713346138546414,0.00013445131318969234,256,14400
1.160092807424594,3.8,6,400,0.0001,0.02420501242884105,0.0001387034981082349,256,14400
1.160092807424594,3.9,6,400,0.0001,0.024350434758461128,0.00014223041860792052,256,14400
1.160092807424594,4.0,6,400,0.0001,0.024404250455231202,0.0001461987795713429,256,14400
1.160092807424594,4.1,6,400,0.0001,0.025768106656954233,0.00015036511984477905,256,14400
1.160092807424594,4.2,6,400,0.0001,0.026805397096064148,0.0001540692603540243,256,14400
1.160092807424594,4.3,6,400,0.0001,0.027830068535307267,0.00015851540553508964,256,14400
1.160092807424594,4.4,6,400,0.0001,0.028628493444266497,0.00016326734824442102,256,14400
1.160092807424594,4.5,6,400,0.0001,0.029600574293613645,0.00016816881882485564,256,14400
1.160092807424594,4.6,6,400,0.0001,0.031415783482791296,0.00017183696509973009,256,14400
1.160092807424594,4.7,6,400,0.0001,0.03233172780931151,0.00017581020231676527,256,14400
1.160092807424594,4.8,6,400,0.0001,0.03311247386526601,0.00018098962795262336,256,14400
1.160092807424594,4.9,6,400,0.0001,0.03345721661937811,0.00018599708499024084,256,14400
1.160092807424594,5.0,6,400,0.0001,0.03490226835316409,0.00019056631188806662,256,14400
1.160092807424594,5.1,6,400,0.0001,0.03476818806808701,0.0001959380595678289,256,14400
1.160092807424594,5.2,6,400,0.0001,0.03480017518016717,0.0002012053216799242,256,14400
1.160092807424594,5.3,6,400,0.0001,0.03518518508027126,0.0002067599484329032,256,14400
1.160092807424594,5.4,6,400,0.0001,0.035915767908930626,0.0002110518138633346,256,14400
1.160092807424594,5.5,6,400,0.0001,0.03628146651862254,0.00021575232275145554,256,14400
1.160092807424594,5.6,6,400,0.0001,0.03617353082225438,0.0002210182616991783,256,14400
1.160092807424594,5.7,6,400,0.0001,0.03641948829054147,0.00022639694836419096,256,14400
1.160092807424594,5.8,6,400,0.0001,0.0372487999644525,0.00023099944329446322,256,14400
1.160092807424594,5.9,6,400,0.0001,0.037212012914436245,0.00023512200195374968,256,14400
1.160092807424594,6.0,6,400,0.0001,0.03735165972652289,0.00023991715148150516,256,14400
1.160092807424594,6.1,6,400,0.0001,0.03837383447273168,0.0002435906641287334,256,14400
1.160092807424594,6.2,6,400,0.0001,0.038560226153123135,0.0002477747432015732,256,14400
1.160092807424594,6.3,6,400,0.0001,0.03866913595008858,0.0002530206931507361,256,14400
1.160092807424594,6.4,6,400,0.0001,0.03800440082567447,0.0002579022188739054,256,14400
1.160092807424594,6.5,6,400,0.0001,0.038738373255311875,0.0002628920717770209,256,14400
1.160092807424594,6.6,6,400,0.0001,0.03854478067978763,0.0002672824234187383,256,14400
1.160092807424594,6.7,6,400,0.0001,0.040202081139755645,0.0002718131778058236,256,14400
1.160092807424594,6.8,6,400,0.0001,0.04040868723050355,0.0002759205082537424,256,14400
