"t","Cov","SqDiff","Var","Nobs"
132.11,-0.00015132135128050135,0.00513763246652394,5.138146281152055e-7,10000
132.12,-0.00015131213256328274,0.005137537596831589,5.138051401971785e-7,10000
132.13,-0.0001513034663493003,0.005137440791872374,5.137954587331107e-7,10000
132.14,-0.00015129455039594616,0.005137352740868139,5.13786652752089e-7,10000
132.15,-0.0001512855379978652,0.005137266110837533,5.137779888826416e-7,10000
132.16,-0.0001512766117475342,0.005137164443477204,5.137678211298334e-7,10000
132.17,-0.00015126793672184995,0.0051370685999521685,5.137582358187988e-7,10000
132.18,-0.00015125931098166183,0.005136972329980556,5.137486078588415e-7,10000
132.19,-0.00015125071443418663,0.0051368777947196805,5.137391533873068e-7,10000
132.2,-0.000151241638379162,0.005136787686615013,5.137301416756689e-7,10000
132.21,-0.00015123304304848683,0.0051366887612692815,5.137202481517433e-7,10000
132.22,-0.00015122442433174112,0.005136589917448301,5.137103627811082e-7,10000
132.23,-0.00015121597682402491,0.005136478852961225,5.136992552216447e-7,10000
132.24,-0.00015120694672086807,0.005136383500954305,5.136897190673372e-7,10000
132.25,-0.00015119782461356766,0.005136273867998871,5.136787546753547e-7,10000
132.26,-0.0001511886787295648,0.005136167817070953,5.136681485219476e-7,10000
132.27,-0.0001511798818743014,0.005136052034109969,5.136565690679036e-7,10000
132.28,-0.0001511710397972946,0.005135939894650645,5.136453540004645e-7,10000
132.29,-0.00015116193607559865,0.005135822960596657,5.136336594256083e-7,10000
132.3,-0.00015115258529096952,0.0051356992853677326,5.136212906658399e-7,10000
132.31,-0.00015114347609381055,0.005135564939444383,5.136078547299113e-7,10000
132.32,-0.00015113394298722204,0.005135423810990432,5.135937404730906e-7,10000
132.33,-0.00015112469667085822,0.005135286104030874,5.135799683999275e-7,10000
132.34,-0.00015111497755682825,0.005135149905540026,5.135663471887215e-7,10000
132.35,-0.00015110531867837832,0.005135009829848196,5.135523382186414e-7,10000
132.36,-0.00015109463338809737,0.005134869336113563,5.135382874401002e-7,10000
132.37,-0.00015108321825773815,0.005134717100870662,5.135230623933055e-7,10000
132.38,-0.0001510719713670066,0.005134574456046083,5.135087964842568e-7,10000
132.39,-0.0001510615882190226,0.005134427262637363,5.134940756713034e-7,10000
132.4,-0.00015105127944218288,0.00513427474629816,5.134788225120672e-7,10000
132.41,-0.00015104068572841827,0.005134120300442147,5.134633763818529e-7,10000
132.42,-0.00015103042870632388,0.005133979422766344,5.13449287205355e-7,10000
132.43,-0.00015101999793181264,0.005133845746004448,5.134359181922641e-7,10000
132.44,-0.0001510096846718775,0.005133707405650531,5.134220827733305e-7,10000
132.45,-0.00015099970038966076,0.005133560569351723,5.134073976749398e-7,10000
132.46,-0.0001509891701124781,0.005133415855888165,5.133929248813046e-7,10000
132.47,-0.00015097859275262933,0.005133267372304854,5.133780750379892e-7,10000
132.48,-0.00015096829696482076,0.005133132287401817,5.133645651967014e-7,10000
132.49,-0.00015095783181854277,0.005133007055163636,5.133520407204356e-7,10000
132.5,-0.0001509469483008681,0.005132898961120301,5.133412302350536e-7,10000
132.51,-0.00015093626540340073,0.005132801908755276,5.133315240279304e-7,10000
132.52,-0.00015092544637315136,0.005132701848811628,5.133215170328661e-7,10000
132.53,-0.00015091407351154428,0.005132609854130095,5.13312316644674e-7,10000
132.54,-0.0001509025015030805,0.005132503521557716,5.133016823240041e-7,10000
132.55,-0.00015089080620840292,0.0051323931305159425,5.132906421158059e-7,10000
132.56,-0.00015087994747075423,0.005132292145763313,5.132805426305944e-7,10000
132.57,-0.00015086912270153845,0.005132202858099468,5.132716129712439e-7,10000
132.58,-0.00015086016506553378,0.005132110605637871,5.132623868024673e-7,10000
132.59,-0.0001508505254786808,0.005132017495010798,5.132530748085607e-7,10000
132.6,-0.0001508406675098236,0.005131920293317441,5.132433536671108e-7,10000
132.61,-0.00015083036010547806,0.005131812103237825,5.132325335771402e-7,10000
132.62,-0.00015082139119960335,0.005131700239726064,5.132213461072172e-7,10000
132.63,-0.00015081155605183906,0.005131591144011232,5.132104354446677e-7,10000
132.64,-0.00015080118450237117,0.005131475863937137,5.131989062843421e-7,10000
132.65,-0.00015079146702767074,0.0051313600484406,5.131873235764177e-7,10000
132.66,-0.00015078186083137597,0.005131240298039838,5.131753473387176e-7,10000
132.67,-0.00015077294609096338,0.005131124497634499,5.131637661400639e-7,10000
132.68,-0.00015076355638821905,0.005131010966645272,5.131524119057178e-7,10000
132.69,-0.0001507535654507797,0.005130904720358537,5.131417862144752e-7,10000
132.7,-0.00015074417544198767,0.005130810104534588,5.131323236858274e-7,10000
132.71,-0.00015073425638649588,0.005130707752119071,5.131220874206491e-7,10000
132.72,-0.00015072418401595536,0.005130602499622453,5.131115611183572e-7,10000
132.73,-0.00015071392072948248,0.005130496502473343,5.131009603433686e-7,10000
132.74,-0.00015070280030012842,0.0051303922689247385,5.130905359460684e-7,10000
132.75,-0.00015069208573654085,0.005130293115051179,5.130806195670746e-7,10000
132.76,-0.00015068153432053351,0.0051301962565513505,5.130709327484099e-7,10000
132.77,-0.0001506709821542638,0.005130091923991161,5.13060498448961e-7,10000
132.78,-0.0001506615572519306,0.005129995523210703,5.13050857406811e-7,10000
132.79,-0.00015065102204395313,0.005129893897336896,5.130406938030698e-7,10000
132.8,-0.00015063988276248046,0.005129802997058948,5.130316028661814e-7,10000
132.81,-0.00015062967998531182,0.005129716456652695,5.130229479600655e-7,10000
132.82,-0.00015061975595370095,0.005129630471875145,5.130143486223768e-7,10000
132.83,-0.00015061038523729966,0.005129529714766686,5.130042719038589e-7,10000
132.84,-0.00015060113000193114,0.005129415991736107,5.129928984634571e-7,10000
132.85,-0.00015059223400388768,0.005129309699712001,5.129822681980199e-7,10000
132.86,-0.0001505828966106376,0.005129209987374004,5.12972295966997e-7,10000
132.87,-0.00015057450984756225,0.005129108142895822,5.129621105006322e-7,10000
132.88,-0.00015056643193010725,0.005129007618625687,5.129520570682755e-7,10000
132.89,-0.00015055718132300555,0.00512890994941887,5.129422891708041e-7,10000
132.9,-0.00015054710056473805,0.005128818550218086,5.129331483366422e-7,10000
132.91,-0.00015053689198199578,0.005128723664686984,5.129236588345819e-7,10000
132.92,-0.00015052672536595177,0.005128607523681601,5.129120435725174e-7,10000
132.93,-0.000150516559189079,0.0051284873648503775,5.129000264876865e-7,10000
132.94,-0.00015050621475957274,0.005128375882092604,5.128888770969701e-7,10000
132.95,-0.00015049513954696903,0.00512826001696825,5.128772894257676e-7,10000
132.96,-0.00015048374967388263,0.0051281444855063125,5.128657351241437e-7,10000
132.97,-0.00015047332176050722,0.005128037632090301,5.128550487139015e-7,10000
132.98,-0.00015046259199988723,0.005127920925559566,5.128433768936459e-7,10000
132.99,-0.0001504520754125618,0.005127808391670996,5.128321223793375e-7,10000
133.0,-0.00015044131019777281,0.005127695869947658,5.12820869081674e-7,10000
133.01,-0.00015043041532204957,0.005127588649498808,5.128101459644772e-7,10000
133.02,-0.00015042036985529584,0.0051274825957858365,5.127995395325369e-7,10000
133.03,-0.0001504103602902502,0.005127361259253897,5.127874046658563e-7,10000
133.04,-0.00015040074022887052,0.005127238313637727,5.127751088746602e-7,10000
133.05,-0.0001503912892548875,0.005127123644953387,5.127636408594246e-7,10000
133.06,-0.00015038280150732553,0.005127016889732354,5.127529642696623e-7,10000
133.07,-0.0001503734193193011,0.005126908611069201,5.127421353204521e-7,10000
133.08,-0.00015036451278431224,0.005126806647692298,5.127319379630261e-7,10000
133.09,-0.0001503558857352421,0.005126701283597401,5.127214004997901e-7,10000
133.1,-0.0001503462838272799,0.005126596915286198,5.127109626248823e-7,10000
133.11,-0.0001503355037842809,0.005126496850520496,5.127009551475644e-7,10000
133.12,-0.0001503245410798356,0.005126399320083464,5.126912011284593e-7,10000
133.13,-0.00015031413605001714,0.005126309277597587,5.126821959793566e-7,10000
133.14,-0.00015030267726676304,0.005126221270528496,5.126733943922888e-7,10000
133.15,-0.00015029144616423746,0.005126131797953135,5.126644462399375e-7,10000
133.16,-0.00015028021119082072,0.005126044410984569,5.126557066691239e-7,10000
133.17,-0.00015027042731793986,0.005125948360763933,5.126461006864619e-7,10000
133.18,-0.0001502610721244901,0.005125845319399654,5.126357955195173e-7,10000
133.19,-0.00015025228953017127,0.005125739751321162,5.126252376558818e-7,10000
133.2,-0.00015024379633777525,0.005125647054376461,5.126159670343496e-7,10000
133.21,-0.00015023505255516066,0.005125568222160344,5.126080830243369e-7,10000
133.22,-0.00015022642102996268,0.0051254952425952354,5.126007843379573e-7,10000
133.23,-0.00015021869379591417,0.005125417666447973,5.12593025947392e-7,10000
