"t","mean","q05","q95","q25","q75","traj1","traj2","traj3","traj4","traj5","traj6","traj7","traj8","traj9","traj10","traj11","traj12","traj13","traj14","traj15","traj16","traj17","traj18","traj19","traj20"
3.1,100.00586941025139,99.22712879661698,100.77423162197788,99.68345855637708,100.32677842239417,100.39852058649359,100.69897151790471,99.71462550302974,99.84571438978391,99.65952075118663,100.76936824006094,100.41268305670884,100.3618266460324,100.72730293300503,100.62571782681393,99.4757827991699,100.02482705518399,100.34887815665616,100.24141163149713,99.74373187937876,99.02146735963271,99.4533813162729,99.8090383417923,98.66297767427932,99.90084767019059
3.2,100.00611186154512,99.20415062256947,100.79183743936571,99.67333945107099,100.3366604682858,100.38325185492981,100.73004709315863,99.72658214656664,99.81226493978902,99.62250136737337,100.77161375961775,100.45386961457952,100.36710062447975,100.75943091056253,100.60309113664852,99.45230225362054,100.02629005862032,100.33766400685415,100.27309095169913,99.71781942898346,99.0098051389626,99.42838941213758,99.80339723225738,98.6407961571051,99.9057672025744
3.3,100.0064025307054,99.1825876247249,100.81382406066885,99.66649898927851,100.34550073592544,100.3517071799433,100.76868762055996,99.73289707403195,99.7749652758192,99.58395032222937,100.77726049742837,100.49214342765777,100.37069729337594,100.80093453087193,100.58109782761606,99.43205481423166,100.02116664164038,100.32380350577283,100.30678408489537,99.70823081356549,98.99502131573976,99.40110104229034,99.79526905823704,98.61085943057586,99.90654458176765
3.4,100.00677075051497,99.16214453545648,100.83324899072375,99.65592432356569,100.35372999814538,100.31897017178018,100.8026173236892,99.7396161281511,99.74903360827714,99.5450297933915,100.7936850578692,100.51600693712935,100.37999686015061,100.8413766511684,100.5520329371497,99.42897256380627,100.00181882822449,100.29728728766898,100.33331793642684,99.6990596406073,98.97083041329539,99.37257346285654,99.78332747946388,98.57536362939074,99.90866557846134
3.5,100.00715028769584,99.13821160287728,100.85639537421949,99.64801617930013,100.36516691289016,100.28346815457012,100.82960962243587,99.75637787369143,99.72325975431589,99.5013012882383,100.81010532957083,100.5310385154955,100.38782106593763,100.88049724874057,100.53775617289928,99.44108671692685,100.00027777965424,100.2821801204304,100.34357895128923,99.69733518431609,98.94673346506337,99.34421049617379,99.77269421382316,98.54314822347602,99.90506979684226
3.6,100.00760890740979,99.11614761525588,100.88151283258081,99.64144731268733,100.37543719095451,100.24902384683985,100.83957982912779,99.76697728457081,99.6994559265569,99.4502072051483,100.83453747527716,100.55002095071193,100.42031681406758,100.92563055079975,100.52075571257774,99.4404781555513,99.99961638552523,100.27740868127195,100.35016501874833,99.71034643834412,98.92783623949178,99.31333796949919,99.76548469932561,98.5161207853626,99.92577776642077
3.7,100.00798815651599,99.09550015422153,100.90180000590027,99.63099912976037,100.38584787687515,100.22460763089977,100.84749583536149,99.77736630094212,99.67364584352399,99.38798548947368,100.86286855801346,100.55909438506532,100.46664743466407,100.94992922635683,100.50807671495421,99.42834018360297,99.99406927631985,100.27169509055611,100.35271750956478,99.73686472318815,98.91034604983687,99.2734501066904,99.75955095706732,98.49302019592253,99.948957434858
3.8,100.00836608733265,99.07933198076344,100.92553454777439,99.62359031911824,100.39388565601486,100.19793907373747,100.8458619371348,99.79518369185084,99.64753188879105,99.31950663768804,100.88777964735269,100.57835213960219,100.52102012414868,100.97179265395994,100.48183685986903,99.42335711039354,99.98533301312408,100.25484174325919,100.3517067969681,99.7663763422322,98.88917860116769,99.23980619425626,99.75245559604971,98.47385298801285,99.97193580698095
3.9,100.00875867032873,99.05594249317211,100.94458225295486,99.61783388642652,100.4012798871797,100.18622285821822,100.84087918403404,99.82722728243593,99.63275719715605,99.27550680708535,100.9149063439586,100.58961095315516,100.56352249699798,100.98215663428914,100.4618068028858,99.41358778145873,99.96575118061514,100.23558159527985,100.344708141911,99.7973783533813,98.8781442308311,99.20333277648442,99.74839491553377,98.4663351530755,99.99130175128346
4.0,100.00900933631218,99.03506597510903,100.9646361279752,99.61158307464808,100.41081516549025,100.17875387910043,100.83524015298455,99.8587525882378,99.6216338943641,99.23358107746634,100.93670843646736,100.60018673543351,100.5949291068811,100.99632800664689,100.44556956886488,99.40118159467714,99.93323876771419,100.22192208204834,100.31895622597813,99.82037116140542,98.87623268711185,99.18325535635155,99.75258168822945,98.47945781543932,99.99204279493311
4.1,100.00888107793634,99.01203102235864,100.98859012210153,99.6033519511479,100.41509664418574,100.17344634221247,100.82731418469093,99.88528327505745,99.62184203962157,99.18893095381858,100.95905540004766,100.61562981150367,100.62383210958458,101.00177638018498,100.43961355193049,99.3864167350669,99.91624471713176,100.21422262048695,100.28000657588842,99.84020342199233,98.87617422028852,99.16516521676418,99.77237329191848,98.50182807769826,99.99254744896282
4.2,100.00864118843191,98.99586364718314,101.00958844348733,99.59526541272213,100.4252592664539,100.17321116494298,100.81607676238026,99.90034745794216,99.62501203866435,99.1510751338096,100.96963380953216,100.62754741756277,100.664997053599,101.01864088550917,100.43065411765174,99.37737913766466,99.90854016398892,100.20678176848722,100.23932661597993,99.86132711452811,98.87605077873101,99.14448253046034,99.79021169929014,98.53093148463078,99.98801092153505
4.3,100.00837142069771,98.98329666098225,101.02802256796114,99.58883951521425,100.43296402324795,100.17451918464228,100.81464112677939,99.91839205096761,99.62186994133106,99.130456704673,100.97902398942085,100.62673694723941,100.70397276536434,101.04850879332464,100.40798548376455,99.37981058517661,99.92665312386939,100.19958456446425,100.19617166890323,99.87296954031872,98.88083519942576,99.1292939591077,99.80326456880537,98.55527533735544,99.97659916034883
4.4,100.00811733976157,98.96636436713044,101.04106695878309,99.58395735207743,100.43941947948099,100.18712050910169,100.80886083737434,99.93764305041813,99.60980450477814,99.12709439642003,100.98561591121182,100.6293736831519,100.7560960340161,101.08633255958217,100.3705948206359,99.36657121832252,99.95732871313204,100.1912376516174,100.14783755603219,99.88078492048709,98.86671246952601,99.12032270451144,99.8108856960826,98.58103200643738,99.96006504323677
4.5,100.00777177087774,98.94979244665122,101.06220511526861,99.57616258476487,100.44736382985803,100.22533241596247,100.79156533435238,99.9584032702361,99.59533266701342,99.12137380703061,101.01062285632653,100.63048872433899,100.80288836953704,101.12062008373204,100.3346679036573,99.362851007378,99.99669709191812,100.17782046654975,100.10296346073645,99.87875001563819,98.84872579888959,99.11557131831961,99.82241511121894,98.60131187652358,99.9519467502633
4.6,100.00735420341576,98.93540606723833,101.08140072569704,99.56997875434267,100.45425986721008,100.27173879628913,100.76647713918238,99.99239507088859,99.58157716347229,99.1074108368828,101.03800930065509,100.63475294567242,100.8390057563681,101.1683623076649,100.30252634546271,99.37486298063874,100.04293433537704,100.17525589342328,100.05618217575594,99.86786294677172,98.83169864150106,99.11478738415254,99.83108761789201,98.62186113071859,99.94775270052394
4.7,100.00693161154577,98.91675925547139,101.09565159745769,99.56050975668145,100.46145698220673,100.31469038526515,100.73221878718428,100.04527651962714,99.57408521488556,99.1036279295594,101.0610842221596,100.63496743271244,100.87848609870903,101.21859781296104,100.28259058724397,99.39649475467891,100.10125705828017,100.18235615341106,100.00500876696927,99.86103687662963,98.8116734345212,99.11673994311407,99.84522397192687,98.63365876633266,99.94540704408867
4.8,100.00645036742465,98.89874724523503,101.11564549873867,99.55408835268919,100.46726724412527,100.34526860903387,100.70175034612596,100.08965423738535,99.56138080722991,99.10175387413196,101.09774115894729,100.63556819454445,100.91900379675171,101.26304660322357,100.26613523861663,99.41122055346939,100.15056387364997,100.18310150425934,99.95657550139912,99.86371207660318,98.78672511861407,99.12074787049714,99.8572916490833,98.63829565878017,99.94646375462649
