"t","Cov","SqDiff","Var","Nobs"
42.54,-2.995871821315988e-7,2.799831353727853e-6,2.8001113648643393e-10,10000
42.55,-3.0309801527193633e-7,2.79960817909331e-6,2.799888167910101e-10,10000
42.56,-3.063181776961292e-7,2.7993641307917077e-6,2.799644095201228e-10,10000
42.57,-3.097274548845467e-7,2.7992064828661927e-6,2.799486431509344e-10,10000
42.58,-3.12728217330907e-7,2.799215030399166e-6,2.7994949798971557e-10,10000
42.59,-3.1620495703999813e-7,2.7990005511799502e-6,2.799280479227873e-10,10000
42.6,-3.188990720798931e-7,2.7988281754136354e-6,2.7991080862222575e-10,10000
42.61,-3.2249832628272244e-7,2.7986339317478794e-6,2.7989138231301924e-10,10000
42.62,-3.2572481945595396e-7,2.798345808693943e-6,2.798625671261069e-10,10000
42.63,-3.286316323082013e-7,2.798152325343853e-6,2.798432168560709e-10,10000
42.64,-3.318454735753519e-7,2.7977955204004683e-6,2.7980753279332616e-10,10000
42.65,-3.352192341550595e-7,2.797499326228673e-6,2.7977791041390865e-10,10000
42.66,-3.3718808245728847e-7,2.797308122977595e-6,2.7975878817657713e-10,10000
42.67,-3.379241676360773e-7,2.7972117076708788e-6,2.7974914568165603e-10,10000
42.68,-3.3867525718740976e-7,2.79698700164716e-6,2.797266728319992e-10,10000
42.69,-3.410626768495783e-7,2.7971109673724048e-6,2.797390706443049e-10,10000
42.7,-3.435551081185302e-7,2.797146459386591e-6,2.7974262020067913e-10,10000
42.71,-3.4629641516045233e-7,2.797091887415014e-6,2.797371624577472e-10,10000
42.72,-3.48718862541638e-7,2.7969980636036316e-6,2.79727779138277e-10,10000
42.73,-3.5099057001597356e-7,2.7971023198381128e-6,2.797382058043917e-10,10000
42.74,-3.538835466558283e-7,2.797266515412623e-6,2.7975462700396267e-10,10000
42.75,-3.567508755180368e-7,2.7973328816318176e-6,2.797612642896107e-10,10000
42.76,-3.607909246270531e-7,2.797182356680473e-6,2.797462102890762e-10,10000
42.77,-3.640371671788319e-7,2.797176227258267e-6,2.7974559728555526e-10,10000
42.78,-3.670143927326758e-7,2.7972987116457275e-6,2.797578469492677e-10,10000
42.79,-3.7001517633689396e-7,2.797831680020946e-6,2.798111491170063e-10,10000
42.8,-3.724028427655943e-7,2.7983953832082562e-6,2.7986752507333295e-10,10000
42.81,-3.745244494638143e-7,2.7988229505329127e-6,2.7991028608189945e-10,10000
42.82,-3.769503408315412e-7,2.7993444649782082e-6,2.7996244274209504e-10,10000
42.83,-3.7962927821487515e-7,2.7997351579241778e-6,2.8000151594401216e-10,10000
42.84,-3.821900501661566e-7,2.7997659600664367e-6,2.800045964662903e-10,10000
42.85,-3.842588673744322e-7,2.7999023485412965e-6,2.8001823667779745e-10,10000
42.86,-3.8645989884319857e-7,2.8002065012613826e-6,2.8004865499163745e-10,10000
42.87,-3.892956174652525e-7,2.800438450085398e-6,2.800718521937592e-10,10000
42.88,-3.9124919299732597e-7,2.800581068870923e-6,2.800861154986422e-10,10000
42.89,-3.9316346718358654e-7,2.800569259004492e-6,2.800849343938886e-10,10000
42.9,-3.952008367596246e-7,2.8006431702921396e-6,2.800923262618401e-10,10000
42.91,-3.975413189429013e-7,2.8005625647142504e-6,2.8008426489791485e-10,10000
42.92,-4.0078106727883046e-7,2.8007831364411036e-6,2.80106324276538e-10,10000
42.93,-4.036311449303385e-7,2.8013455017369076e-6,2.8016256643033377e-10,10000
42.94,-4.066619293704078e-7,2.8019789867326283e-6,2.8022592126538936e-10,10000
42.95,-4.095519873234327e-7,2.8026696239750636e-6,2.80294991896696e-10,10000
42.96,-4.1180781270065404e-7,2.8029719047323958e-6,2.803252229955391e-10,10000
42.97,-4.1377147302204475e-7,2.8033226649898054e-6,2.8036030252923345e-10,10000
42.98,-4.1644745525996297e-7,2.8036465020828246e-6,2.8039268947723017e-10,10000
42.99,-4.19098231665938e-7,2.803977282283726e-6,2.8042577080545317e-10,10000
43.0,-4.219630166766992e-7,2.804331387804342e-6,2.804611848989241e-10,10000
43.01,-4.252713827956448e-7,2.8042471951628137e-6,2.8045276479276066e-10,10000
43.02,-4.287255704655218e-7,2.804379216988221e-6,2.8046596829565163e-10,10000
43.03,-4.3216335004674913e-7,2.8045233953145625e-6,2.804803875702133e-10,10000
43.04,-4.354275553896907e-7,2.8048126672252143e-6,2.8050931765428687e-10,10000
43.05,-4.392467548336487e-7,2.8048111632082106e-6,2.805091672375448e-10,10000
43.06,-4.423805721990703e-7,2.8047866245925122e-6,2.8050671313056426e-10,10000
43.07,-4.449294022096988e-7,2.804436587800324e-6,2.804717059506275e-10,10000
43.08,-4.472850732115519e-7,2.804438398293512e-6,2.8047188701805303e-10,10000
43.09,-4.500513255613393e-7,2.8047572054714474e-6,2.805037709242372e-10,10000
43.1,-4.513167054448634e-7,2.8049627153120497e-6,2.8052432396360133e-10,10000
43.11,-4.5260889910281435e-7,2.8051152050180363e-6,2.8053957445924956e-10,10000
43.12,-4.539125466468603e-7,2.8052332762187817e-6,2.805513827601542e-10,10000
43.13,-4.559273732943972e-7,2.805410317123042e-6,2.805690886211663e-10,10000
43.14,-4.5778943162956065e-7,2.8054596767215017e-6,2.8057402507465764e-10,10000
43.15,-4.587235105632913e-7,2.805235386091116e-6,2.8055159376848844e-10,10000
43.16,-4.60175928045206e-7,2.805358746239969e-6,2.8056393101709864e-10,10000
43.17,-4.6249205215168194e-7,2.8053819851601536e-6,2.8056625514152953e-10,10000
43.18,-4.646486271498134e-7,2.805413046760965e-6,2.805693616122577e-10,10000
43.19,-4.665991171186339e-7,2.8052782114471863e-6,2.8055587673239185e-10,10000
43.2,-4.6856909957626217e-7,2.8050723748933085e-6,2.805352910184327e-10,10000
43.21,-4.708019489674219e-7,2.8048652004723267e-6,2.8051457150438313e-10,10000
43.22,-4.73265268408704e-7,2.804829498252026e-6,2.8051100092529515e-10,10000
43.23,-4.753449993808855e-7,2.8049808954902128e-6,2.805261421632376e-10,10000
43.24,-4.783309441199856e-7,2.8048279606197838e-6,2.8051084714669306e-10,10000
43.25,-4.827644288883736e-7,2.805138649963354e-6,2.805419191882542e-10,10000
43.26,-4.857643998176595e-7,2.8054932014541044e-6,2.8057737788319874e-10,10000
43.27,-4.885419537459831e-7,2.8057195925315987e-6,2.8060001925508537e-10,10000
43.28,-4.905061267135717e-7,2.8059049790305004e-6,2.8061855975902596e-10,10000
43.29,-4.928637833584911e-7,2.8061076429632896e-6,2.806388281791469e-10,10000
43.3,-4.95179002965938e-7,2.8061488327038537e-6,2.806429475651419e-10,10000
43.31,-4.979958748579252e-7,2.806406290893571e-6,2.80668695958953e-10,10000
43.32,-5.002143918056051e-7,2.8063396341286657e-6,2.8066202961582815e-10,10000
43.33,-5.030477197886433e-7,2.8060524322748177e-6,2.8063330655813756e-10,10000
