"DiscreteTimes","Duration","Mean","Var","M"
9.9,20.0,17.894490634713332,0.00231444064921798,128
10.0,20.0,18.074157731574978,0.002334377492395783,128
10.1,20.0,18.25247014219707,0.0023636929747042415,128
10.2,20.0,18.440890072811644,0.002391865134058264,128
10.3,20.0,18.625731535868834,0.002422636838707424,128
10.4,20.0,18.804603486088915,0.002450173335281496,128
10.5,20.0,18.977958557467428,0.0024649454951114025,128
10.6,20.0,19.155465448851064,0.002488520260538893,128
10.7,20.0,19.330745338109,0.002513816173701367,128
10.8,20.0,19.508512125248373,0.002545966591365061,128
10.9,20.0,19.68613123471095,0.0025763371888625638,128
11.0,20.0,19.87508105369404,0.0025966372886273553,128
11.1,20.0,20.062107012607743,0.002619897931718121,128
11.2,20.0,20.246584309355164,0.0026521212395519216,128
11.3,20.0,20.42937726013749,0.002672959457484473,128
