"DiscreteTimes","Duration","Mean","Var","M"
8.4,10.0,17.760545230181968,0.0029464132744233384,4096
8.5,10.0,17.96246230142215,0.002982049437999495,4096
8.6,10.0,18.158989130466647,0.0030038503418061955,4096
8.7,10.0,18.34656657945813,0.003039785627038619,4096
8.8,10.0,18.54110444952835,0.003065604820228819,4096
8.9,10.0,18.740431783796925,0.0030934039402609604,4096
9.0,10.0,18.942990068934673,0.003123200142935692,4096
9.1,10.0,19.14303849846021,0.0031520179128552367,4096
9.2,10.0,19.336378544399707,0.0031908962815186993,4096
9.3,10.0,19.533779999984127,0.003238699932057255,4096
9.4,10.0,19.72574896092758,0.0032709631845205954,4096
9.5,10.0,19.922478072260546,0.003303854125590522,4096
9.6,10.0,20.116574668542352,0.003338540922027164,4096
9.7,10.0,20.317991501445952,0.003379425181545767,4096
