"DiscreteTimes","Mean","Var","M"
16.3,58.70762813373142,0.019160591555749697,1024
16.4,59.24590574900792,0.01941300280984034,1024
16.5,59.77559383823318,0.019589478920841,1024
16.6,60.30434399635084,0.0198109005105304,1024
16.7,60.835937893189836,0.02008364163911801,1024
16.8,61.36418064226133,0.020326204948217408,1024
16.9,61.874851403623644,0.020585040975795315,1024
17.0,62.40238731346887,0.020846189394278965,1024
17.1,62.93951396429059,0.021061279159234617,1024
17.2,63.48116272412888,0.02132751271218636,1024
17.3,64.01127609025481,0.021531682284724216,1024
17.4,64.55933200312052,0.021793736724377562,1024
17.5,65.10445825683132,0.021953695979935812,1024
17.6,65.64365533742429,0.022108591557667593,1024
17.7,66.18786285345848,0.02236603566026439,1024
17.8,66.71646785209873,0.0225653881854986,1024
17.9,67.26681206013254,0.022760290405127448,1024
18.0,67.81338088067272,0.022937814763050297,1024
18.1,68.34445928631315,0.023218402867051655,1024
18.2,68.88100689426523,0.023424184185193243,1024
18.3,69.43747485405399,0.023676020121720695,1024
18.4,69.98426993276959,0.023952446271674553,1024
18.5,70.52992966249231,0.024167525255992174,1024
18.6,71.09446815333469,0.024366836003986755,1024
18.7,71.66567818112522,0.024591049231604295,1024
18.8,72.23482287315946,0.02488950886806718,1024
18.9,72.7837513403628,0.025158448962822082,1024
19.0,73.31864963004901,0.025446346842601976,1024
19.1,73.87761880532378,0.025677832934097426,1024
19.2,74.44934282125655,0.025974682636165487,1024
19.3,75.00843255128535,0.026267158715213464,1024
19.4,75.5692525649466,0.02652065090797592,1024
19.5,76.119122382939,0.026777729232614445,1024
19.6,76.66640708564881,0.02694618949188475,1024
19.7,77.21436034755378,0.027234601948002257,1024
19.8,77.7642174510914,0.027435921537327528,1024
19.9,78.31226392555335,0.027700583804234572,1024
20.0,78.87924898131021,0.027881710930786615,1024
0.0,0.0,0.0,128
0.1,0.04877813517189629,8.887573906961857e-6,128
0.2,0.15865223822585447,2.9012932466677128e-5,128
0.3,0.3120521048498686,5.2742527278281446e-5,128
0.4,0.4809668374638042,7.484429605107943e-5,128
0.5,0.6703117032454693,0.00010068307496650413,128
0.6,0.8481586513886618,0.00012608128435106827,128
