"g","info_rate","std","NClusters","Lmax"
0.0004,0.005820576344418596,0.0066076256105697265,30,5
0.0001,-0.002308096393886475,0.004089057961465937,40,5
0.0002,-0.00402780973865828,0.004176110247447076,40,5
0.0003,0.00561830988414948,0.0044793237886894075,40,5
0.0004,0.024508568247878892,0.004227769852441721,40,5
0.0001,0.004685357119993861,0.003192492031374842,50,5
0.0002,0.009993003280614168,0.0033471003511427893,50,5
0.0003,0.01313938095264735,0.003546364810857934,50,5
0.0004,0.019395134162995428,0.003516452118758631,50,5
0.0001,0.006915699132795659,0.0032606407803932947,60,5
0.0002,0.010488706947358917,0.0033046285736352504,60,5
0.0003,0.01755153723522557,0.0032197259884816803,60,5
0.0004,0.019450670241896374,0.0034765763779154584,60,5
0.0001,0.0033899987038362714,0.0023452131413242796,100,5
0.0002,0.014353426787923307,0.002560017451053049,100,5
0.0003,0.019656446449433897,0.0025854686294683733,100,5
0.0004,0.03782601874721692,0.002873985055203955,100,5
0.0001,0.002709268816204412,0.0018545831758807793,200,5
0.0002,0.018172974844673753,0.0021675925219075483,200,5
0.0003,0.04160277784179044,0.0023782791319226894,200,5
0.0004,0.06800523929414022,0.0029796353319416695,200,5
0.0001,0.011896226567885346,0.0018090286168391324,400,5
0.0002,0.03557911373966413,0.002088498711987109,400,5
0.0003,0.07163139258080964,0.0025041992375089356,400,5
0.0004,0.11173224801880455,0.003382770826365705,400,5
0.0001,-0.0046056833371964975,0.006651172869537297,30,6
0.0002,0.009770749880720813,0.007102643040892255,30,6
0.0003,-0.001994288008870888,0.00674470934668266,30,6
0.0004,0.015503535898991689,0.007182080925292604,30,6
0.0001,0.0006707705604625953,0.004856663769426482,40,6
0.0002,0.001171385416348084,0.004528359803827007,40,6
0.0003,0.008880926353499036,0.00444889312441072,40,6
0.0004,0.023929365943511804,0.005085485745084969,40,6
0.0001,0.0005057918407415627,0.0030059259611295067,60,6
0.0002,0.006427875374870637,0.003179652450095967,60,6
0.0003,0.016361758372318104,0.003345070567116786,60,6
0.0004,0.03049065457231877,0.003943441167074602,60,6
0.0001,-0.0028803154023207666,0.0034367809478614035,50,7
0.0002,0.011806695438315544,0.0032986001800720064,50,7
0.0003,0.019677049900658196,0.0037587283679503345,50,7
0.0004,0.044383258346577636,0.0038542221536243745,50,7
0.0001,0.006929079551333699,0.0024525047701652006,100,7
0.0002,0.0184788486096646,0.0024826021308045646,100,7
0.0003,0.04198958263417657,0.0027997290562139484,100,7
0.0004,0.07545193705958576,0.0032383517945039774,100,7
0.0001,0.007382295480596417,0.0019469040780086373,200,7
0.0002,0.028393425244043622,0.0022637558202712295,200,7
